Acronym,Name,Hemisphere ID
Right: VISal5,"Anterolateral visual area, layer 5",3
Left: VISal6a,"Anterolateral visual area, layer 6a",3
Right: VISal6a,"Anterolateral visual area, layer 6a",3
Left: VISal6b,"Anterolateral visual area, layer 6b",3
Right: VISal6b,"Anterolateral visual area, layer 6b",3
Left: VISam1,"Anteromedial visual area, layer 1",3
Right: VISam1,"Anteromedial visual area, layer 1",3
Left: VISam2/3,"Anteromedial visual area, layer 2/3",3
Right: VISam2/3,"Anteromedial visual area, layer 2/3",3
Left: VISam4,"Anteromedial visual area, layer 4",3
Right: VISam4,"Anteromedial visual area, layer 4",3
Left: VISam5,"Anteromedial visual area, layer 5",3
Right: VISam5,"Anteromedial visual area, layer 5",3
Left: VISam6a,"Anteromedial visual area, layer 6a",3
Right: VISam6a,"Anteromedial visual area, layer 6a",3
Left: VISam6b,"Anteromedial visual area, layer 6b",3
Right: VISam6b,"Anteromedial visual area, layer 6b",3
Left: VISl1,"Lateral visual area, layer 1",3
Right: VISl1,"Lateral visual area, layer 1",3
Left: VISl2/3,"Lateral visual area, layer 2/3",3
Right: VISl2/3,"Lateral visual area, layer 2/3",3
Left: VISl4,"Lateral visual area, layer 4",3
Right: VISl4,"Lateral visual area, layer 4",3
Left: VISl5,"Lateral visual area, layer 5",3
Right: VISl5,"Lateral visual area, layer 5",3
Left: VISl6a,"Lateral visual area, layer 6a",3
Right: VISl6a,"Lateral visual area, layer 6a",3
Left: VISl6b,"Lateral visual area, layer 6b",3
Right: VISl6b,"Lateral visual area, layer 6b",3
Left: VISp1,"Primary visual area, layer 1",3
Right: VISp1,"Primary visual area, layer 1",3
Left: VISp2/3,"Primary visual area, layer 2/3",3
Right: VISp2/3,"Primary visual area, layer 2/3",3
Left: VISp4,"Primary visual area, layer 4",3
Right: VISp4,"Primary visual area, layer 4",3
Left: VISp5,"Primary visual area, layer 5",3
Right: VISp5,"Primary visual area, layer 5",3
Left: VISp6a,"Primary visual area, layer 6a",3
Right: VISp6a,"Primary visual area, layer 6a",3
Left: VISp6b,"Primary visual area, layer 6b",3
Right: VISp6b,"Primary visual area, layer 6b",3
Left: VISpl1,"Posterolateral visual area, layer 1",3
Right: VISpl1,"Posterolateral visual area, layer 1",3
Left: VISpl2/3,"Posterolateral visual area, layer 2/3",3
Right: VISpl2/3,"Posterolateral visual area, layer 2/3",3
Left: VISpl4,"Posterolateral visual area, layer 4",3
Right: VISpl4,"Posterolateral visual area, layer 4",3
Left: VISpl5,"Posterolateral visual area, layer 5",3
Right: VISpl5,"Posterolateral visual area, layer 5",3
Left: VISpl6a,"Posterolateral visual area, layer 6a",3
Right: VISpl6a,"Posterolateral visual area, layer 6a",3
Left: VISpl6b,"Posterolateral visual area, layer 6b",3
Right: VISpl6b,"Posterolateral visual area, layer 6b",3
Left: VISpm1,"posteromedial visual area, layer 1",3
Right: VISpm1,"posteromedial visual area, layer 1",3
Left: VISpm2/3,"posteromedial visual area, layer 2/3",3
Right: VISpm2/3,"posteromedial visual area, layer 2/3",3
Left: VISpm4,"posteromedial visual area, layer 4",3
Right: VISpm4,"posteromedial visual area, layer 4",3
Left: VISpm5,"posteromedial visual area, layer 5",3
Right: VISpm5,"posteromedial visual area, layer 5",3
Left: VISpm6a,"posteromedial visual area, layer 6a",3
Right: VISpm6a,"posteromedial visual area, layer 6a",3
Left: VISpm6b,"posteromedial visual area, layer 6b",3
Right: VISpm6b,"posteromedial visual area, layer 6b",3
Left: VISli1,"Laterointermediate area, layer 1",3
Right: VISli1,"Laterointermediate area, layer 1",3
Left: VISli2/3,"Laterointermediate area, layer 2/3",3
Right: VISli2/3,"Laterointermediate area, layer 2/3",3
Left: VISli4,"Laterointermediate area, layer 4",3
Right: VISli4,"Laterointermediate area, layer 4",3
Left: VISli5,"Laterointermediate area, layer 5",3
Right: VISli5,"Laterointermediate area, layer 5",3
Left: VISli6a,"Laterointermediate area, layer 6a",3
Right: VISli6a,"Laterointermediate area, layer 6a",3
Left: VISli6b,"Laterointermediate area, layer 6b",3
Right: VISli6b,"Laterointermediate area, layer 6b",3
Left: VISpor1,"Postrhinal area, layer 1",3
Right: VISpor1,"Postrhinal area, layer 1",3
Left: VISpor2/3,"Postrhinal area, layer 2/3",3
Right: VISpor2/3,"Postrhinal area, layer 2/3",3
Left: VISpor4,"Postrhinal area, layer 4",3
Right: VISpor4,"Postrhinal area, layer 4",3
Left: VISpor5,"Postrhinal area, layer 5",3
Right: VISpor5,"Postrhinal area, layer 5",3
Left: VISpor6a,"Postrhinal area, layer 6a",3
Right: VISpor6a,"Postrhinal area, layer 6a",3
Left: VISpor6b,"Postrhinal area, layer 6b",3
Right: VISpor6b,"Postrhinal area, layer 6b",3
Left: ACA1,"Anterior cingulate area, layer 1",3
Right: ACA1,"Anterior cingulate area, layer 1",3
Left: ACA2/3,"Anterior cingulate area, layer 2/3",3
Right: ACA2/3,"Anterior cingulate area, layer 2/3",3
Left: ACA5,"Anterior cingulate area, layer 5",3
Right: ACA5,"Anterior cingulate area, layer 5",3
Left: ACA6a,"Anterior cingulate area, layer 6a",3
Right: ACA6a,"Anterior cingulate area, layer 6a",3
Left: ACA6b,"Anterior cingulate area, layer 6b",3
Right: ACA6b,"Anterior cingulate area, layer 6b",3
Left: ACAd1,"Anterior cingulate area, dorsal part, layer 1",3
Right: ACAd1,"Anterior cingulate area, dorsal part, layer 1",3
Left: ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3",3
Right: ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3",3
Left: ACAd5,"Anterior cingulate area, dorsal part, layer 5",3
Right: ACAd5,"Anterior cingulate area, dorsal part, layer 5",3
Left: ACAd6a,"Anterior cingulate area, dorsal part, layer 6a",3
Right: ACAd6a,"Anterior cingulate area, dorsal part, layer 6a",3
Left: ACAd6b,"Anterior cingulate area, dorsal part, layer 6b",3
Right: ACAd6b,"Anterior cingulate area, dorsal part, layer 6b",3
Left: ACAv1,"Anterior cingulate area, ventral part, layer 1",3
Right: ACAv1,"Anterior cingulate area, ventral part, layer 1",3
Left: ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3",3
Right: ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3",3
Left: ACAv5,"Anterior cingulate area, ventral part, layer 5",3
Right: ACAv5,"Anterior cingulate area, ventral part, layer 5",3
Left: ACAv6a,"Anterior cingulate area, ventral part, 6a",3
Right: ACAv6a,"Anterior cingulate area, ventral part, 6a",3
Left: ACAv6b,"Anterior cingulate area, ventral part, 6b",3
Right: ACAv6b,"Anterior cingulate area, ventral part, 6b",3
Left: PL1,"Prelimbic area, layer 1",3
Right: PL1,"Prelimbic area, layer 1",3
Left: PL2,"Prelimbic area, layer 2",3
Right: PL2,"Prelimbic area, layer 2",3
Left: PL2/3,"Prelimbic area, layer 2/3",3
Right: PL2/3,"Prelimbic area, layer 2/3",3
Left: PL5,"Prelimbic area, layer 5",3
Right: PL5,"Prelimbic area, layer 5",3
Left: PL6a,"Prelimbic area, layer 6a",3
Right: PL6a,"Prelimbic area, layer 6a",3
Left: PL6b,"Prelimbic area, layer 6b",3
Right: PL6b,"Prelimbic area, layer 6b",3
Left: ILA1,"Infralimbic area, layer 1",3
Right: ILA1,"Infralimbic area, layer 1",3
Left: ILA2,"Infralimbic area, layer 2",3
Right: ILA2,"Infralimbic area, layer 2",3
Left: ILA2/3,"Infralimbic area, layer 2/3",3
Right: ILA2/3,"Infralimbic area, layer 2/3",3
Left: ILA5,"Infralimbic area, layer 5",3
Right: ILA5,"Infralimbic area, layer 5",3
Left: ILA6a,"Infralimbic area, layer 6a",3
Right: ILA6a,"Infralimbic area, layer 6a",3
Left: ILA6b,"Infralimbic area, layer 6b",3
Right: ILA6b,"Infralimbic area, layer 6b",3
Left: ORB1,"Orbital area, layer 1",3
Right: ORB1,"Orbital area, layer 1",3
Left: ORB2/3,"Orbital area, layer 2/3",3
Right: ORB2/3,"Orbital area, layer 2/3",3
Left: ORB5,"Orbital area, layer 5",3
Right: ORB5,"Orbital area, layer 5",3
Left: ORB6a,"Orbital area, layer 6a",3
Right: ORB6a,"Orbital area, layer 6a",3
Left: ORB6b,"Orbital area, layer 6b",3
Right: ORB6b,"Orbital area, layer 6b",3
Left: ORBl1,"Orbital area, lateral part, layer 1",3
Right: ORBl1,"Orbital area, lateral part, layer 1",3
Left: ORBl2/3,"Orbital area, lateral part, layer 2/3",3
Right: ORBl2/3,"Orbital area, lateral part, layer 2/3",3
Left: ORBl5,"Orbital area, lateral part, layer 5",3
Right: ORBl5,"Orbital area, lateral part, layer 5",3
Left: ORBl6a,"Orbital area, lateral part, layer 6a",3
Right: ORBl6a,"Orbital area, lateral part, layer 6a",3
Left: ORBl6b,"Orbital area, lateral part, layer 6b",3
Right: ORBl6b,"Orbital area, lateral part, layer 6b",3
Left: ORBm1,"Orbital area, medial part, layer 1",3
Right: ORBm1,"Orbital area, medial part, layer 1",3
Left: ORBm2,"Orbital area, medial part, layer 2",3
Right: ORBm2,"Orbital area, medial part, layer 2",3
Left: ORBm2/3,"Orbital area, medial part, layer 2/3",3
Right: ORBm2/3,"Orbital area, medial part, layer 2/3",3
Left: ORBm5,"Orbital area, medial part, layer 5",3
Right: ORBm5,"Orbital area, medial part, layer 5",3
Left: ORBm6a,"Orbital area, medial part, layer 6a",3
Right: ORBm6a,"Orbital area, medial part, layer 6a",3
Left: ORBm6b,"Orbital area, medial part, layer 6b",3
Right: ORBm6b,"Orbital area, medial part, layer 6b",3
Left: ORBv,"Orbital area, ventral part",3
Right: ORBv,"Orbital area, ventral part",3
Left: ORBvl1,"Orbital area, ventrolateral part, layer 1",3
Right: ORBvl1,"Orbital area, ventrolateral part, layer 1",3
Left: ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3",3
Right: ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3",3
Left: ORBvl5,"Orbital area, ventrolateral part, layer 5",3
Right: ORBvl5,"Orbital area, ventrolateral part, layer 5",3
Left: ORBvl6a,"Orbital area, ventrolateral part, layer 6a",3
Right: ORBvl6a,"Orbital area, ventrolateral part, layer 6a",3
Left: ORBvl6b,"Orbital area, ventrolateral part, layer 6b",3
Right: ORBvl6b,"Orbital area, ventrolateral part, layer 6b",3
Left: AId1,"Agranular insular area, dorsal part, layer 1",3
Right: AId1,"Agranular insular area, dorsal part, layer 1",3
Left: AId2/3,"Agranular insular area, dorsal part, layer 2/3",3
Right: AId2/3,"Agranular insular area, dorsal part, layer 2/3",3
Left: AId5,"Agranular insular area, dorsal part, layer 5",3
Right: AId5,"Agranular insular area, dorsal part, layer 5",3
Left: AId6a,"Agranular insular area, dorsal part, layer 6a",3
Right: AId6a,"Agranular insular area, dorsal part, layer 6a",3
Left: AId6b,"Agranular insular area, dorsal part, layer 6b",3
Right: AId6b,"Agranular insular area, dorsal part, layer 6b",3
